type,recipe_id,ingredient,amount_sum,units_std,servings,calories,value,amount_per,calories_per
cupcake,139889,cream,0.3333333333333333,cups,15,362,1/3 cup half-and-half cream,0.02222222222222222,24.133333333333333
cupcake,139889,flour,2,cups,15,362,2 cups all-purpose flour,0.13333333333333333,24.133333333333333
cupcake,139889,mayonnaise,1,cups,15,362,1 cup mayonnaise,0.06666666666666667,24.133333333333333
cupcake,139889,other,0.125,cups,15,362,2 tablespoons grape jelly,0.008333333333333333,24.133333333333333
cupcake,139889,sugar,3.5,cups,15,362,1 cup white sugar;3/4 cup packed brown sugar;1 3/4 cups confectioners' sugar,0.23333333333333334,24.133333333333333
cupcake,139889,vanilla,0.03124995,cups,15,362,1 teaspoon vanilla extract;1/2 teaspoon vanilla extract,0.00208333,24.133333333333333
cupcake,139889,water,1,cups,15,362,1 cup water,0.06666666666666667,24.133333333333333
cupcake,145206,baking powder,0.0208333,cups,12,227,1 teaspoon baking powder,0.0017361083333333333,18.916666666666668
cupcake,145206,baking soda,0.01041665,cups,12,227,1/2 teaspoon baking soda,8.680541666666666e-4,18.916666666666668
cupcake,145206,flour,1.125,cups,12,227,1 1/8 cups all-purpose flour,0.09375,18.916666666666668
cupcake,145206,honey,0.125,cups,12,227,2 tablespoons honey,0.010416666666666666,18.916666666666668
cupcake,145206,milk,0.75,cups,12,227,3/4 cup soy milk,0.0625,18.916666666666668
cupcake,145206,nut,0.5416666,cups,12,227,1/2 cup crunchy peanut butter;2 teaspoons flax seed meal,0.04513888333333333,18.916666666666668
cupcake,145206,oil,0.3333333333333333,cups,12,227,1/3 cup canola oil,0.027777777777777776,18.916666666666668
cupcake,145206,salt,0.005208325,cups,12,227,1/4 teaspoon salt,4.340270833333333e-4,18.916666666666668
cupcake,145206,sugar,0.6666666666666666,cups,12,227,2/3 cup white sugar,0.05555555555555555,18.916666666666668
cupcake,145206,vanilla,0.0416666,cups,12,227,2 teaspoons vanilla extract,0.0034722166666666665,18.916666666666668
cupcake,145206,vinegar,0.0416666,cups,12,227,2 teaspoons distilled white vinegar,0.0034722166666666665,18.916666666666668
cupcake,153245,baking powder,0.0625,cups,24,244,1 tablespoon baking powder,0.0026041666666666665,10.166666666666666
cupcake,153245,baking soda,0.01041665,cups,24,244,1/2 teaspoon baking soda,4.340270833333333e-4,10.166666666666666
cupcake,153245,butter,0.75,cups,24,244,"1/2 cup butter, softened;1/4 cup butter, softened",0.03125,10.166666666666666
cupcake,153245,cream cheese,1,cups,24,244,"1 (8 ounce) package cream cheese, softened",0.041666666666666664,10.166666666666666
cupcake,153245,eggs,2,eggs,24,244,"2 eggs, room temperature",0.08333333333333333,10.166666666666666
cupcake,153245,flour,2.25,cups,24,244,2 1/4 cups all-purpose flour,0.09375,10.166666666666666
cupcake,153245,milk,0.75,cups,24,244,3/4 cup milk,0.03125,10.166666666666666
cupcake,153245,salt,0.01041665,cups,24,244,1/2 teaspoon salt,4.340270833333333e-4,10.166666666666666
cupcake,153245,spice,0.0833332,cups,24,244,1 teaspoon ground cinnamon;1/2 teaspoon ground nutmeg;1/2 teaspoon ground ginger;1/2 teaspoon ground cloves;1/2 teaspoon ground allspice;1 teaspoon ground cinnamon,0.0034722166666666665,10.166666666666666
cupcake,153245,sugar,4.333333333333333,cups,24,244,1 cup white sugar;1/3 cup brown sugar;3 cups confectioners' sugar,0.18055555555555555,10.166666666666666
cupcake,153245,unitless,1,NA,24,244,cinnamon cream cheese frosting,0.041666666666666664,10.166666666666666
cupcake,153245,vanilla,0.0208333,cups,24,244,1 teaspoon vanilla extract,8.680541666666666e-4,10.166666666666666
cupcake,153245,vegetable,1,cups,24,244,1 cup pumpkin puree,0.041666666666666664,10.166666666666666
cupcake,154294,baking powder,0.01041665,cups,12,147,1/2 teaspoon baking powder,8.680541666666666e-4,12.25
cupcake,154294,baking soda,0.005208325,cups,12,147,1/4 teaspoon baking soda,4.340270833333333e-4,12.25
cupcake,154294,flour,1,cups,12,147,1 cup all-purpose flour,0.08333333333333333,12.25
cupcake,154294,milk,1,cups,12,147,1 cup milk,0.08333333333333333,12.25
cupcake,154294,oil,0.25,cups,12,147,1/4 cup canola oil,0.020833333333333332,12.25
cupcake,154294,salt,0.01041665,cups,12,147,1/2 teaspoon salt,8.680541666666666e-4,12.25
cupcake,154294,spice,0.05859365833333333,cups,12,147,2 teaspoons ground cinnamon;1/2 teaspoon ground ginger;1/4 teaspoon ground cloves;1 pinch ground black pepper,0.004882804861111111,12.25
cupcake,154294,sugar,0.75,cups,12,147,3/4 cup white sugar,0.0625,12.25
cupcake,154294,unitless,2,NA,12,147,2 black tea bags;2 chai tea bags,0.16666666666666666,12.25
cupcake,154294,vanilla,0.0208333,cups,12,147,1 teaspoon vanilla extract,0.0017361083333333333,12.25
cupcake,154294,yogurt,0.5,cups,12,147,1/2 cup plain yogurt,0.041666666666666664,12.25
cupcake,15494,baking soda,0.03124995,cups,12,173,1 1/2 teaspoons baking soda,0.0026041625,14.416666666666666
cupcake,15494,chocolate,0.3333333333333333,cups,12,173,1/3 cup unsweetened cocoa powder,0.027777777777777776,14.416666666666666
cupcake,15494,flour,1.5,cups,12,173,1 1/2 cups all-purpose flour,0.125,14.416666666666666
cupcake,15494,other,0.75,cups,12,173,3/4 cup creamy salad dressing,0.0625,14.416666666666666
cupcake,15494,sugar,1,cups,12,173,1 cup white sugar,0.08333333333333333,14.416666666666666
cupcake,15494,vanilla,0.0208333,cups,12,173,1 teaspoon vanilla extract,0.0017361083333333333,14.416666666666666
cupcake,15494,water,1,cups,12,173,1 cup warm water,0.08333333333333333,14.416666666666666
cupcake,15503,baking soda,0.0208333,cups,24,172,1 teaspoon baking soda,8.680541666666666e-4,7.166666666666667
cupcake,15503,chocolate,1.25,cups,24,172,1 cup semisweet chocolate chips;1/4 cup cocoa,0.052083333333333336,7.166666666666667
cupcake,15503,cream cheese,1,cups,24,172,1 (8 ounce) package cream cheese,0.041666666666666664,7.166666666666667
cupcake,15503,eggs,1,eggs,24,172,1 egg,0.041666666666666664,7.166666666666667
cupcake,15503,flour,1.5,cups,24,172,1 1/2 cups all-purpose flour,0.0625,7.166666666666667
cupcake,15503,oil,0.3333333333333333,cups,24,172,1/3 cup vegetable oil,0.013888888888888888,7.166666666666667
cupcake,15503,salt,0.0130208125,cups,24,172,1/8 teaspoon salt;1/2 teaspoon salt,5.425338541666666e-4,7.166666666666667
cupcake,15503,sugar,1.3333333333333333,cups,24,172,1/3 cup white sugar;1 cup white sugar,0.05555555555555555,7.166666666666667
